,,,,,,,,,,,,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,DIFF 5th/4th,DIFF 4th/3rd,ODB2017,ODB2016,ODB2015,DIFF 5th/4th,DIFF 4th/3rd,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,Change (aggregate - with direction) 3rd - Context,Change scaled (-100 |100),ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2016,Change (aggregate - with direction) 3rd - Impact,Change scaled (-100 | 100),Change (aggregate - with direction) 4th Total,Overall Change 4th Edt.,Largest Change 3rd
Estonia,Europe & Central Asia,,Estonia,Estonia,Estonia,Estonia,No,Yes,Yes,Yes,Yes,,5,6,6,5,,-1,0,1,,3,3,,0,,5,5,,0,,9,9,8,8,,0,1,0,,8,8,8,7,,0,0,1,,5,7,7,6,,-2,0,1,,3,5,5,5,,-2,0,0,,2,3,4,1,,-1,-1,3,,4,6,7,6,,-2,-1,1,-8,-8.89,,0,1,3,2,,-1,-2,1,,0,2,4,2,,-2,-2,2,,0,1,2,1,,-1,-1,1,,0,0,2,1,,0,-2,1,,1,2,4,1,,-1,-2,3,,3,3,5,1,,0,-2,4,0,-5,-8.33,-13,13,2
Ethiopia,Sub-Saharan Africa,,Ethiopia,Ethiopia,Ethiopia,Ethiopia,No,Yes,Yes,Yes,Yes,,4,3,0,1,,1,3,-1,,2,1,,1,,1,0,,1,,2,2,1,1,,0,1,0,,5,4,4,5,,1,0,-1,,2,3,1,0,,-1,2,1,,1,1,0,1,,0,1,-1,,0,0,0,0,,0,0,0,,2,3,1,4,,-1,2,-3,2,2.22,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0.00,2,6,1
Finland,Europe & Central Asia,,Finland,Finland,Finland,Finland,No,Yes,Yes,Yes,Yes,,8,8,7,5,,0,1,2,,5,6,,-1,,7,6,,1,,9,9,9,10,,0,0,-1,,8,9,9,9,,-1,0,0,,7,7,7,8,,0,0,-1,,8,8,5,6,,0,3,-1,,7,7,5,4,,0,2,1,,6,6,8,8,,0,-2,0,-1,-1.11,,1,0,1,2,,1,-1,-1,,3,3,5,2,,0,-2,3,,1,2,3,4,,-1,-1,-1,,0,1,3,0,,-1,-2,3,,3,3,6,3,,0,-3,3,,6,6,6,4,,0,0,2,2,-1,-1.67,-2,6,1
France,Europe & Central Asia,France,France,France,France,France,Yes,Yes,Yes,Yes,Yes,9,9,9,9,9,0,0,0,0,9,8,9,1,-1,9,8,7,1,1,9,9,9,8,10,0,0,1,-2,7,7,7,7,7,0,0,0,0,9,9,9,8,7,0,0,1,1,9,8,9,6,3,1,-1,3,3,9,9,8,7,5,0,1,1,2,8,8,8,7,5,0,0,1,2,3,3.33,6,6,5,4,0,0,1,1,4,5,4,5,5,5,1,-1,0,0,4,1,1,2,0,3,0,-1,2,4,3,2,3,3,1,1,-1,0,5,4,5,5,0,1,-1,0,5,9,8,7,7,5,1,1,0,2,1,7,11.67,10,9,3
Georgia,Europe & Central Asia,,Georgia,Georgia,Georgia,Georgia,No,Yes,Yes,No,No,,4,4,,,,0,,,,1,1,,0,,1,2,,-1,,7,6,,,,1,,,,6,5,,,,1,,,,6,6,,,,0,,,,1,0,,,,1,,,,0,1,,,,-1,,,,3,2,,,,1,,,2,2.22,,0,0,,,,0,,,,3,0,,,,3,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,0,3,5.00,5,9,3
Germany,Europe & Central Asia,Germany,Germany,Germany,Germany,Germany,Yes,Yes,Yes,Yes,Yes,8,7,6,6,5,1,1,0,1,7,5,5,2,0,5,5,3,0,2,8,9,9,10,9,-1,0,-1,1,6,7,7,7,7,-1,0,0,0,9,8,8,8,7,1,0,0,1,7,5,4,3,3,2,1,1,0,8,7,7,8,5,1,0,-1,3,8,7,7,6,5,1,0,1,1,6,6.67,3,3,3,3,3,0,0,0,0,2,3,3,5,5,-1,0,-2,0,3,4,4,3,4,-1,0,1,-1,0,1,0,0,0,-1,1,0,0,1,3,1,2,3,-2,2,-1,-1,7,8,5,5,5,-1,3,0,0,0,-6,-10.00,0,14,2
Ghana,Sub-Saharan Africa,,Ghana,Ghana,Ghana,Ghana,No,Yes,Yes,Yes,Yes,,4,2,3,6,,2,-1,-3,,1,1,,0,,2,1,,1,,8,7,6,7,,1,1,-1,,3,3,2,5,,0,1,-3,,3,5,3,6,,-2,2,-3,,1,0,0,1,,1,0,-1,,1,0,0,0,,1,0,0,,3,3,3,3,,0,0,0,4,4.44,,1,1,0,0,,0,1,0,,2,0,0,0,,2,0,0,,0,0,0,0,,0,0,0,,1,0,0,0,,1,0,0,,2,0,0,0,,2,0,0,,2,0,0,0,,2,0,0,0,7,11.67,11,15,2
Greece,Europe & Central Asia,,Greece,Greece,Greece,Greece,No,Yes,Yes,Yes,Yes,,6,6,5,3,,0,1,2,,7,7,,0,,3,2,,1,,8,8,8,9,,0,0,-1,,5,5,5,6,,0,0,-1,,7,6,5,5,,1,1,0,,4,5,4,2,,-1,1,2,,8,5,5,1,,3,0,4,,5,6,6,4,,-1,0,2,3,3.33,,1,1,0,0,,0,1,0,,3,4,5,5,,-1,-1,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,3,1,1,0,,2,0,1,3,1,1.67,4,10,3
Guatemala,Latin America & Caribbean,Guatemala,Guatemala,,,,Yes,Yes,No,No,No,4,2,,,,2,,,,4,1,,3,,1,1,,0,,3,3,,,,0,,,,5,5,,,,0,,,,5,4,,,,1,,,,1,1,,,,0,,,,0,0,,,,0,,,,3,3,,,,0,,,,6,,0,0,,,,0,,,,3,3,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,6,6,3
Haiti,Latin America & Caribbean,,Haiti,Haiti,Haiti,Haiti,No,Yes,Yes,Yes,No,,1,0,0,,,1,0,,,0,0,,0,,0,0,,0,,1,0,0,,,1,0,,,1,1,1,,,0,0,,,0,0,0,,,0,0,,,1,1,0,,,0,1,,,0,0,0,,,0,0,,,3,3,0,,,0,3,,2,2.22,,0,0,0,,,0,0,,,0,0,0,,,0,0,,,0,0,0,,,0,0,,,0,0,0,,,0,0,,,0,0,0,,,0,0,,,0,0,0,,,0,0,,0,0,0.00,2,2,1
Hungary,Europe & Central Asia,,Hungary,Hungary,Hungary,Hungary,No,Yes,Yes,Yes,Yes,,3,2,3,2,,1,-1,1,,2,2,,0,,1,0,,1,,5,5,6,2,,0,-1,4,,5,5,6,2,,0,-1,4,,2,2,3,2,,0,-1,1,,3,0,0,0,,3,0,0,,1,1,1,1,,0,0,0,,4,3,4,3,,1,-1,1,6,6.67,,0,0,2,1,,0,-2,1,,3,2,4,1,,1,-2,3,,0,0,1,0,,0,-1,1,,1,0,0,0,,1,0,0,,0,0,2,0,,0,-2,2,,1,0,2,2,,1,-2,0,2,3,5.00,9,9,3
Iceland,Europe & Central Asia,,Iceland,Iceland,Iceland,Iceland,No,Yes,Yes,Yes,Yes,,6,6,5,3,,0,1,2,,2,2,,0,,3,2,,1,,9,9,9,9,,0,0,0,,7,8,9,9,,-1,-1,0,,3,4,4,2,,-1,0,2,,1,1,1,1,,0,0,0,,2,4,4,4,,-2,0,0,,5,5,4,3,,0,1,1,-3,-3.33,,1,1,1,1,,0,0,0,,0,1,4,3,,-1,-3,1,,0,0,0,0,,0,0,0,,0,0,1,0,,0,-1,1,,1,4,5,3,,-3,-1,2,,5,6,5,3,,-1,1,2,0,-5,-8.33,-8,10,3
India,South Asia,India,India,India,India,India,Yes,Yes,Yes,Yes,Yes,7,7,6,5,7,0,1,1,-2,7,6,6,1,0,8,6,5,2,1,3,2,3,5,5,1,-1,-2,0,6,5,4,8,10,1,1,-4,-2,8,6,6,5,6,2,0,1,-1,8,1,2,2,6,7,-1,0,-4,7,5,2,3,0,2,3,-1,3,6,4,4,4,4,2,0,0,0,18,20.00,3,2,0,0,0,1,2,0,0,3,0,0,1,3,3,0,-1,-2,3,2,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,8,8,4,0,1,0,4,4,-1,1,6,10.00,24,17,3
Indonesia,East Asia & Pacific,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Yes,Yes,Yes,Yes,Yes,7,6,6,5,5,1,0,1,0,3,2,3,1,-1,3,3,3,0,0,5,4,4,4,5,1,0,0,-1,7,6,6,6,6,1,0,0,0,6,6,6,4,3,0,0,2,1,4,4,2,2,1,0,2,0,1,5,4,3,2,1,1,1,1,1,4,4,2,2,0,0,2,0,2,5,5.56,3,3,1,1,0,0,2,0,1,3,2,2,1,0,1,0,1,1,2,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,2,0,1,2,3.33,7,7,1
Ireland,Europe & Central Asia,,Ireland,Ireland,Ireland,Ireland,No,Yes,Yes,Yes,Yes,,8,7,4,3,,1,3,1,,6,5,,1,,7,7,,0,,9,9,8,7,,0,1,1,,7,7,7,7,,0,0,0,,8,8,6,6,,0,2,0,,5,5,3,2,,0,2,1,,5,5,4,4,,0,1,0,,7,7,6,4,,0,1,2,2,2.22,,0,0,1,3,,0,-1,-2,,1,0,1,1,,1,-1,0,,1,0,0,0,,1,0,0,,0,0,0,1,,0,0,-1,,2,1,0,0,,1,1,0,,1,1,3,3,,0,-2,0,1,3,5.00,5,5,1
Israel,Middle East & North Africa,,Israel,Israel,Israel,Israel,No,Yes,Yes,Yes,Yes,,5,4,5,4,,1,-1,1,,5,3,,2,,4,4,,0,,7,6,7,8,,1,-1,-1,,5,6,5,6,,-1,1,-1,,6,4,5,6,,2,-1,-1,,3,1,2,0,,2,-1,2,,3,2,5,2,,1,-3,3,,5,5,4,4,,0,1,0,8,8.89,,0,2,3,1,,-2,-1,2,,4,3,5,4,,1,-2,1,,1,0,0,0,,1,0,0,,0,0,1,0,,0,-1,1,,3,4,0,0,,-1,4,0,,6,6,5,5,,0,1,0,1,-1,-1.67,7,15,2
Italy,Europe & Central Asia,Italy,Italy,Italy,Italy,Italy,Yes,Yes,Yes,Yes,Yes,6,6,6,6,6,0,0,0,0,7,6,7,1,-1,7,6,7,1,-1,9,9,8,8,9,0,1,0,-1,5,4,4,4,5,1,0,0,-1,7,8,6,6,6,-1,2,0,0,2,4,5,1,2,-2,-1,4,-1,5,7,7,5,5,-2,0,2,0,3,7,6,3,2,-4,1,3,1,-6,-6.67,2,3,4,3,3,-1,-1,1,0,4,3,4,2,4,1,-1,2,-2,2,0,2,1,2,2,-2,1,-1,0,0,0,0,0,0,0,0,0,2,1,1,2,3,1,0,-1,-1,6,6,5,4,5,0,1,1,-1,0,3,5.00,-3,15,4
Ivory Coast,Sub-Saharan Africa,,Ivory Coast,,,,No,Yes,No,No,No,,4,,,,,,,,,1,,,,,0,,,,,4,,,,,,,,,4,,,,,,,,,1,,,,,,,,,2,,,,,,,,,0,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,1,,,,,
Jamaica,Latin America & Caribbean,,Jamaica,Jamaica,Jamaica,Jamaica,No,Yes,Yes,Yes,Yes,,6,3,3,2,,3,0,1,,3,1,,2,,2,0,,2,,2,2,2,1,,0,0,1,,5,5,6,6,,0,-1,0,,6,6,5,5,,0,1,0,,3,5,3,0,,-2,2,3,,0,0,0,0,,0,0,0,,6,5,3,4,,1,2,-1,6,6.67,,2,1,0,0,,1,1,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,2,1,1,0,,1,0,1,,3,2,0,0,,1,2,0,,3,3,2,1,,0,1,1,4,3,5.00,9,13,3
Japan,East Asia & Pacific,Japan,Japan,Japan,Japan,Japan,Yes,Yes,Yes,Yes,Yes,9,8,7,7,7,1,1,0,0,7,6,5,1,1,7,5,4,2,1,9,8,7,7,7,1,1,0,0,6,5,7,7,7,1,-2,0,0,9,8,8,8,8,1,0,0,0,7,6,3,3,4,1,3,0,-1,7,7,3,3,4,0,4,0,-1,6,6,6,5,5,0,0,1,0,8,8.89,6,5,4,1,0,1,1,3,1,5,4,3,1,0,1,1,2,1,7,5,4,5,0,2,1,-1,5,3,2,2,0,0,1,0,2,0,5,3,3,1,0,2,0,2,1,9,7,5,2,1,2,2,3,1,3,9,15.00,17,16,2
Jordan,Middle East & North Africa,,Jordan,Jordan,Jordan,Jordan,No,Yes,Yes,Yes,Yes,,2,2,4,5,,0,-2,-1,,2,1,,1,,0,0,,0,,1,1,1,0,,0,0,1,,3,3,2,2,,0,1,0,,1,1,3,4,,0,-2,-1,,0,0,0,0,,0,0,0,,1,0,1,0,,1,-1,1,,3,3,4,4,,0,-1,0,2,2.22,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,1,0,0,0,,1,0,0,,1,0,0,0,,1,0,0,1,2,3.33,4,4,1
Kazakhstan,Europe & Central Asia,,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,No,Yes,Yes,Yes,Yes,,6,3,3,5,,3,0,-2,,1,0,,1,,3,2,,1,,4,5,6,4,,-1,-1,2,,3,1,1,0,,2,0,1,,1,2,2,2,,-1,0,0,,2,0,2,0,,2,-2,2,,1,0,0,0,,1,0,0,,3,2,2,6,,1,0,-4,9,10.00,,0,0,0,0,,0,0,0,,0,0,1,0,,0,-1,1,,1,0,0,0,,1,0,0,,0,0,0,0,,0,0,0,,0,1,0,1,,-1,1,-1,,1,0,0,0,,1,0,0,0,1,1.67,10,16,3
Kenya,Sub-Saharan Africa,,Kenya,Kenya,Kenya,Kenya,No,Yes,Yes,Yes,Yes,,8,7,2,7,,1,5,-5,,2,0,,2,,3,3,,0,,2,2,4,3,,0,-2,1,,5,4,4,4,,1,0,0,,8,6,5,7,,2,1,-2,,5,3,0,7,,2,3,-7,,3,1,1,0,,2,0,1,,6,5,4,4,,1,1,0,11,12.22,,4,1,1,2,,3,0,-1,,3,2,2,1,,1,0,1,,0,0,0,0,,0,0,0,,3,0,1,1,,3,-1,0,,2,2,1,2,,0,1,-1,,4,3,1,1,,1,2,0,2,8,13.33,19,19,3
Korea,East Asia & Pacific,South Korea,Korea,Korea (Republic of),Korea,"Korea, Republic of",Yes,Yes,Yes,Yes,Yes,9,9,9,8,6,0,0,1,2,9,8,8,1,0,8,8,7,0,1,8,8,8,8,7,0,0,0,1,7,7,8,8,6,0,-1,0,2,8,9,8,6,4,-1,1,2,2,10,8,8,5,4,2,0,3,1,8,8,8,7,4,0,0,1,3,8,7,7,7,7,1,0,0,0,3,3.33,7,5,3,4,2,2,2,-1,2,6,5,3,3,2,1,2,0,1,5,5,3,2,0,0,2,1,2,5,2,1,2,0,3,1,-1,2,7,5,4,2,2,2,1,2,0,10,7,6,5,2,3,1,1,3,5,11,18.33,14,14,3
Kosovo,,,Kosovo,,,,No,Yes,No,No,No,,6,,,,,,,,,1,,,,,1,,,,,6,,,,,,,,,7,,,,,,,,,5,,,,,,,,,1,,,,,,,,,4,,,,,,,,,5,,,,,,,,,,,0,,,,,,,,,2,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,1,,,,,
Kyrgyzstan,,,Kyrgyzstan,,,,No,Yes,No,No,No,,2,,,,,,,,,1,,,,,1,,,,,3,,,,,,,,,6,,,,,,,,,3,,,,,,,,,2,,,,,,,,,0,,,,,,,,,3,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,1,,,,,,,,,0,,,,,,,,,1,,,,,,,,,0,,,,,,,,2,,,,,
Latvia,,,Latvia,,,,No,Yes,No,No,No,,1,,,,,,,,,0,,,,,0,,,,,6,,,,,,,,,5,,,,,,,,,2,,,,,,,,,1,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,
Lebanon,,,Lebanon,,,,No,Yes,No,No,No,,1,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,0,,,,,,,,,3,,,,,,,,,0,,,,,,,,,0,,,,,0,,,,3,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,
Macedonia,Europe & Central Asia,,New Zealand,Macedonia,Macedonia,Macedonia,No,Yes,Yes,No,No,,6,6,,,,0,,,,5,5,,0,,2,2,,0,,8,8,,,,0,,,,7,7,,,,0,,,,5,5,,,,0,,,,2,2,,,,0,,,,1,1,,,,0,,,,6,5,,,,1,,,1,1.11,,1,1,,,,0,,,,0,2,,,,-2,,,,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,1,2,,,,-1,,,3,-3,-5.00,-2,4,2
Malawi,Sub-Saharan Africa,,Malawi,Malawi,Malawi,Malawi,No,Yes,Yes,Yes,Yes,,1,1,5,5,,0,-4,0,,0,0,,0,,1,1,,0,,2,2,5,4,,0,-3,1,,1,1,3,3,,0,-2,0,,0,1,1,5,,-1,0,-4,,0,0,0,4,,0,0,-4,,0,0,0,0,,0,0,0,,1,2,3,4,,-1,-1,-1,-2,-2.22,,0,0,0,1,,0,0,-1,,2,0,0,2,,2,0,-2,,0,0,0,0,,0,0,0,,1,0,0,0,,1,0,0,,0,1,0,3,,-1,1,-3,,0,0,0,0,,0,0,0,0,2,3.33,0,6,2
Malaysia,East Asia & Pacific,,Malaysia,Malaysia,Malaysia,Malaysia,No,Yes,Yes,Yes,No,,6,5,5,,,1,0,,,3,2,,1,,3,1,,2,,5,5,5,,,0,0,,,1,1,1,,,0,0,,,4,2,2,,,2,0,,,5,3,0,,,2,3,,,1,0,0,,,1,0,,,3,4,0,,,-1,4,,8,8.89,,2,1,0,,,1,1,,,0,0,0,,,0,0,,,1,1,0,,,0,1,,,1,1,0,,,0,1,,,0,0,0,,,0,0,,,1,2,1,,,-1,1,,1,0,0.00,8,12,2
Mali,Sub-Saharan Africa,,Mali,Mali,Mali,Mali,No,Yes,Yes,Yes,Yes,,0,0,0,0,,0,0,0,,0,0,,0,,1,0,,1,,5,5,5,0,,0,0,5,,1,0,1,1,,1,-1,0,,1,2,1,1,,-1,1,0,,1,0,0,0,,1,0,0,,0,0,0,0,,0,0,0,,2,2,1,1,,0,1,0,2,2.22,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,1,0,,0,-1,1,1,0,0.00,2,4,1
Mauritius,Sub-Saharan Africa,,Mauritius,Mauritius,Mauritius,Mauritius,No,Yes,Yes,Yes,Yes,,2,2,2,3,,0,0,-1,,1,1,,0,,2,5,,-3,,7,8,8,8,,-1,0,0,,1,0,0,2,,1,0,-2,,1,0,0,0,,1,0,0,,3,1,0,0,,2,1,0,,0,0,0,0,,0,0,0,,3,3,0,4,,0,3,-4,0,0.00,,0,0,0,0,,0,0,0,,0,0,1,0,,0,-1,1,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,1,0,0,0,,1,0,0,,1,0,0,0,,1,0,0,1,2,3.33,2,10,3
Mexico,Latin America & Caribbean,Mexico,Mexico,Mexico,Mexico,Mexico,Yes,Yes,Yes,Yes,Yes,9,8,7,7,4,1,1,0,3,9,8,7,1,1,9,8,6,1,2,9,8,8,7,6,1,0,1,1,9,8,7,8,6,1,1,-1,2,8,7,7,7,4,1,0,0,3,9,8,7,4,3,1,1,3,1,9,8,5,5,3,1,3,0,2,8,7,5,5,4,1,2,0,1,9,10.00,7,6,4,2,1,1,2,2,1,8,5,4,2,1,3,1,2,1,5,3,1,0,0,2,2,1,0,4,2,3,0,0,2,-1,3,0,5,3,2,2,1,2,1,0,1,8,7,6,2,0,1,1,4,2,2,11,18.33,20,19,3
Moldova,Europe & Central Asia,,Moldova,Moldova (Republic of),Moldova (Republic of),Moldova (Republic of),No,Yes,Yes,No,No,,7,7,,,,0,,,,6,6,,0,,5,4,,1,,7,7,,,,0,,,,6,6,,,,0,,,,7,6,,,,1,,,,4,4,,,,0,,,,3,0,,,,3,0,,,3,4,,,,-1,,,4,4.44,,2,1,,,,1,,,,1,3,,,,-2,,,,0,0,,,,0,,,,0,0,,,,0,,,,1,1,,,,0,,,,0,1,,,,-1,,,3,-2,-3.33,2,10,3
Montenegro,,,Montenegro,,,,No,Yes,No,No,No,,1,,,,,1,,,,1,,,,,0,,,,,4,,,,,,,,,6,,,,,,,,,2,,,,,,,,,1,,,,,,,,,0,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,
Morocco,Middle East & North Africa,,Morocco,Morocco,Morocco,Morocco,No,Yes,Yes,Yes,Yes,,4,5,5,6,,-1,0,-1,,1,0,,1,,1,0,,1,,6,6,7,6,,0,-1,1,,4,3,5,3,,1,-2,2,,3,4,3,6,,-1,1,-3,,1,3,2,2,,-2,1,0,,1,0,0,0,,1,0,0,,3,2,2,2,,1,0,0,1,1.11,,0,0,2,3,,0,-2,-1,,1,1,2,3,,0,-1,-1,,0,0,0,0,,0,0,0,,0,0,1,0,,0,-1,1,,1,0,0,0,,1,0,0,,0,0,0,0,,0,0,0,0,1,1.67,2,10,2
Mozambique,Sub-Saharan Africa,,Mozambique,Mozambique,Mozambique,Mozambique,No,Yes,Yes,Yes,No,,1,1,0,,,0,1,,,0,0,,0,,0,0,,0,,3,3,4,,,0,-1,,,3,4,5,,,-1,-1,,,0,0,1,,,0,-1,,,1,1,0,,,0,1,,,0,1,0,,,-1,1,,,3,3,0,,,0,3,,-2,-2.22,,0,0,0,,,0,0,,,0,0,0,,,0,0,,,0,0,0,,,0,0,,,0,0,0,,,0,0,,,0,0,0,,,0,0,,,0,0,0,,,0,0,,0,0,0.00,-2,2,1
Myanmar,East Asia & Pacific,,Myanmar,Myanmar,Myanmar,Myanmar,No,Yes,Yes,Yes,No,,0,0,0,,,0,0,,,0,0,,0,,0,0,,0,,1,0,0,,,1,0,,,1,0,0,,,1,0,,,2,3,3,,,-1,0,,,0,0,0,,,0,0,,,0,0,0,,,0,0,,,1,2,0,,,-1,2,,0,0.00,,0,0,0,,,0,0,,,1,0,0,,,1,0,,,0,0,0,,,0,0,,,0,0,0,,,0,0,,,0,0,0,,,0,0,,,0,0,0,,,0,0,,0,1,1.67,1,5,1
Namibia,Sub-Saharan Africa,,Namibia,Namibia,Namibia,Namibia,No,Yes,Yes,Yes,Yes,,2,3,3,3,,-1,0,0,,1,0,,1,,1,0,,1,,2,2,3,0,,0,-1,3,,0,1,0,0,,-1,1,0,,3,3,2,0,,0,1,2,,3,1,0,0,,2,1,0,,0,0,0,0,,0,0,0,,4,3,0,0,,1,3,0,3,3.33,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,2,0,0.00,3,7,2
Nepal,South Asia,,Nepal,Nepal,Nepal,Nepal,No,Yes,Yes,Yes,Yes,,3,3,3,2,,0,0,1,,1,1,,0,,0,0,,0,,3,3,3,3,,0,0,0,,6,6,6,7,,0,0,-1,,2,5,5,5,,-3,0,0,,2,2,4,0,,0,-2,4,,1,0,0,1,,1,0,-1,,3,3,2,2,,0,1,0,-2,-2.22,,1,1,0,0,,0,1,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,1,0,0,0,,1,0,0,,1,1,0,1,,0,1,-1,,2,1,0,0,,1,1,0,0,2,3.33,0,6,3
Netherlands,Europe & Central Asia,,Netherlands,Netherlands,Netherlands,Netherlands,No,Yes,Yes,Yes,Yes,,7,7,7,7,,0,0,0,,6,5,,1,,8,7,,1,,9,8,8,7,,1,0,1,,7,7,6,5,,0,1,1,,9,9,9,10,,0,0,-1,,9,8,8,7,,1,0,1,,7,8,8,7,,-1,0,1,,8,7,7,5,,1,0,2,4,4.44,,4,4,5,2,,0,-1,3,,3,3,4,0,,0,-1,4,,5,6,3,1,,-1,3,2,,0,0,0,0,,0,0,0,,3,5,2,0,,-2,3,2,,6,7,5,5,,-1,2,0,3,-4,-6.67,0,10,2
New Zealand,East Asia & Pacific,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,Yes,Yes,Yes,Yes,Yes,9,8,8,8,9,1,0,0,-1,8,7,7,1,0,7,7,6,0,1,8,8,8,9,9,0,0,-1,0,8,8,8,8,9,0,0,0,-1,7,8,8,7,7,-1,0,1,0,7,6,5,3,4,1,1,2,-1,8,8,5,1,0,0,3,4,1,6,6,6,4,6,0,0,2,-2,2,2.22,6,6,5,5,7,0,1,0,-2,3,3,3,3,5,0,0,0,-2,8,7,7,0,0,1,0,7,0,3,2,2,0,0,1,0,2,0,3,3,5,5,5,0,-2,0,0,8,8,7,5,5,0,1,2,0,1,2,3.33,4,5,1
Nigeria,Sub-Saharan Africa,,Nigeria,Nigeria,Nigeria,Nigeria,No,Yes,Yes,Yes,Yes,,2,3,3,5,,-1,0,-2,,2,2,,0,,1,0,,1,,3,3,3,4,,0,0,-1,,4,4,5,6,,0,-1,-1,,4,3,3,6,,1,0,-3,,1,2,3,0,,-1,-1,3,,2,1,1,2,,1,0,-1,,5,4,3,4,,1,1,-1,2,2.22,,0,0,0,0,,0,0,0,,2,1,0,0,,1,1,0,,0,0,0,0,,0,0,0,,3,0,0,0,,3,0,0,,2,0,1,0,,2,-1,1,,4,0,1,0,,4,-1,1,3,10,16.67,12,16,4
