,,,,,,,,,,,,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,DIFF 5th/4th,DIFF 4th/3rd,ODB2017,ODB2016,ODB2015,DIFF 5th/4th,DIFF 4th/3rd,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,Change (aggregate - with direction) 3rd - Context,Change scaled (-100 |100),ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2016,Change (aggregate - with direction) 3rd - Impact,Change scaled (-100 | 100),Change (aggregate - with direction) 4th Total,Overall Change 4th Edt.,Largest Change 3rd
Bolivia,,,Bolivia,,,,No,Yes,No,No,No,,5,,,,,,,,,4,,,,,2,,,,,1,,,,,,,,,3,,,,,,,,,6,,,,,,,,,0,,,,,,,,,0,,,,,,,,,4,,,,,,,,,,,0,,,,,,,,,2,,,,,,,,,0,,,,,,,,,1,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,
Bosnia and Herzegovina,,,Bosnia and Herzegovina,Bosnia and Herzegovina,,,No,Yes,No,No,No,,0,,,,,,,,,0,,,,,0,,,,,5,,,,,,,,,6,,,,,,,,,4,,,,,,,,,1,,,,,,,,,0,,,,,,,,,2,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,
Botswana,Sub-Saharan Africa,,Botswana,Botswana,Botswana,Botswana,No,Yes,Yes,Yes,Yes,,1,2,2,0,,-1,0,2,,1,0,,1,,3,1,,2,,2,1,1,0,,1,0,1,,1,0,1,1,,1,-1,0,,1,1,2,0,,0,-1,2,,0,1,3,1,,-1,-2,2,,0,0,0,0,,0,0,0,,2,2,0,1,,0,2,-1,3,3.33,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,1,0,0.00,3,7,2
Brazil,Latin America & Caribbean,Brazil,Brazil,Brazil,Brazil,Brazil,Yes,Yes,Yes,Yes,Yes,7,6,5,6,7,1,1,-1,-1,9,8,5,1,3,8,7,5,1,2,3,3,3,4,5,0,0,-1,-1,8,7,7,8,8,1,0,-1,0,5,6,6,5,6,-1,0,1,-1,3,4,5,4,4,-1,-1,1,0,6,6,6,6,5,0,0,0,1,7,6,6,6,7,1,0,0,-1,3,3.33,6,5,2,1,0,1,3,1,1,6,5,3,1,4,1,2,2,3,1,1,1,0,3,0,0,1,-3,2,2,1,0,0,0,1,1,0,1,1,2,0,0,0,-1,2,0,2,2,3,1,0,0,-1,2,1,0,2,3.33,5,8,1
Bulgaria,,,Bulgaria,,,,No,Yes,No,No,No,,6,,,,,,,,,5,,,,,4,,,,,6,,,,,,,,,6,,,,,,,,,2,,,,,,,,,0,,,,,,,,,4,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,,,,,,,,,0,,,,,,,,1,,,,,
Burkina Faso,Sub-Saharan Africa,,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,No,Yes,Yes,Yes,Yes,,7,5,5,4,,2,0,1,,0,1,,-1,,1,0,,1,,5,6,4,7,,-1,2,-3,,4,3,3,3,,1,0,0,,6,3,5,0,,3,-2,5,,4,3,1,0,,1,2,1,,0,0,0,0,,0,0,0,,3,3,2,2,,0,1,0,6,6.67,,1,0,0,0,,1,0,0,,4,0,0,0,,4,0,0,,0,0,0,0,,0,0,0,,1,0,0,0,,1,0,0,,0,0,0,0,,0,0,0,,2,0,0,0,,2,0,0,3,8,13.33,14,18,4
Cameroon,Sub-Saharan Africa,,Cameroon,Cameroon,Cameroon,Cameroon,No,Yes,Yes,Yes,Yes,,0,1,0,2,,-1,1,-2,,1,0,,1,,0,0,,0,,1,1,1,3,,0,0,-2,,1,0,0,1,,1,0,-1,,2,2,2,0,,0,0,2,,2,0,0,0,,2,0,0,,0,0,0,0,,0,0,0,,3,3,0,0,,0,3,0,3,3.33,,1,0,0,1,,1,0,-1,,1,1,1,0,,0,0,1,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,1,,0,0,-1,1,1,1.67,4,6,2
Canada,North America,Canada,Canada,Canada,Canada,Canada,Yes,Yes,Yes,Yes,Yes,10,9,7,7,7,1,2,0,0,9,9,8,0,1,9,8,7,1,1,8,8,7,7,7,0,1,0,0,6,7,6,7,7,-1,1,-1,0,10,9,8,8,8,1,1,0,0,8,7,7,7,3,1,0,0,4,10,10,9,8,9,0,1,1,-1,9,7,7,7,4,2,0,0,3,5,5.56,6,4,3,3,4,2,1,0,-1,5,3,3,3,4,2,0,0,-1,6,3,3,2,3,3,0,1,-1,5,4,4,3,0,1,0,1,3,4,3,2,2,3,1,1,0,-1,7,5,5,4,5,2,0,1,-1,0,11,18.33,16,17,3
Chile,Latin America & Caribbean,Chile,Chile,Chile,Chile,Chile,Yes,Yes,Yes,Yes,Yes,6,7,7,7,8,-1,0,0,-1,4,4,4,0,0,3,3,3,0,0,6,6,6,7,6,0,0,-1,1,8,8,8,8,8,0,0,0,0,4,5,5,4,4,-1,0,1,0,3,3,4,3,4,0,-1,1,-1,3,3,1,1,1,0,2,0,0,5,5,5,5,5,0,0,0,0,-2,-2.22,2,1,1,0,1,1,0,1,-1,3,2,2,1,3,1,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,-1,1,1,1,2,2,0,0,-1,0,0,2,3.33,0,4,1
China,East Asia & Pacific,China,China,China,China,China,Yes,Yes,Yes,Yes,Yes,3,3,3,3,2,0,0,0,1,2,1,0,1,1,2,1,1,1,0,2,2,1,2,6,0,1,-1,-4,4,4,4,4,5,0,0,0,-1,6,8,8,6,3,-2,0,2,3,4,4,4,2,1,0,0,2,1,7,7,7,5,5,0,0,2,0,4,4,5,7,5,0,-1,-2,2,0,0.00,1,1,1,2,0,0,0,-1,2,0,0,0,1,0,0,0,-1,1,3,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,2,2,1,1,0,0,1,0,1,2,2,3.33,2,6,2
